model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,40,0.1,0.0,200.0,0.0,200.0,0.0,1.0,0.0,1.3139943565164303,0.002459748890165479,0.0,0.0
gpt4o,40,0.1,0.05,200.0,0.0,200.0,0.0,1.0,0.0,1.087023638158981,0.0018583386390153096,10.0,0.0
gpt4o,40,0.1,0.1,200.0,0.0,200.0,0.0,1.0,0.0,0.9213966123011866,0.0015060842337100372,20.0,0.0
gpt4o,40,0.1,0.15,200.0,0.0,200.0,0.0,0.9927659574468086,0.0011434067100037787,0.7988730958579096,0.0012883036701436736,30.0,0.0
gpt4o,40,0.1,0.2,189.06,1.470349618288113,200.0,0.0,0.9723404255319151,0.002251703243459226,0.725410451439041,0.002518108797516316,37.812000000000005,0.29406992365762274
gpt4o,40,0.1,0.25,153.42,1.3299894736425546,198.7,0.5285830114561005,0.9712765957446812,0.0021750051383256255,0.7236523666215288,0.002819010740787974,38.355,0.33249736841063865
gpt4o,40,0.1,0.3,127.82,1.1797253917755608,178.66,1.8005799065856531,0.9719148936170215,0.0023646713173531594,0.726607470487695,0.0030359416405371193,38.346,0.35391761753266826
gpt4o,40,0.1,0.35,110.0,1.1157060544785082,154.52,1.718194401108326,0.9717021276595748,0.002323147051463858,0.7282616857733776,0.0033322060620040186,38.49999999999999,0.3904971190674779
gpt4o,40,0.1,0.4,96.46,0.9508774894801117,136.38,1.4491073114162387,0.9717021276595748,0.0023425522252495732,0.7302491376682848,0.0031972986310625263,38.584,0.38035099579204473
gpt4o,40,0.1,0.45,86.22,0.8016433122031268,122.34,1.3259291082105407,0.9727659574468087,0.0022549176679985982,0.7310083602239159,0.003166825797163311,38.799,0.36073949049140713
gpt4o,40,0.1,0.5,78.34,0.7733614937401525,110.4,1.203661081866486,0.9727659574468087,0.002294718087270257,0.7306486412718101,0.0033894976440800133,39.17,0.38668074687007625
gpt4o,40,0.1,0.55,71.78,0.6677065223584385,100.7,1.0933434958877286,0.9723404255319151,0.0022915594923976603,0.7306186530703482,0.003160676554794128,39.47900000000001,0.3672385872971411
gpt4o,40,0.1,0.6,66.1,0.6795586803212803,93.42,1.0080039682461572,0.9717021276595748,0.0022639337682087055,0.7318226399772526,0.003520127350193384,39.65999999999999,0.407735208192768
gpt4o,40,0.1,0.65,60.94,0.6731478292321826,87.26,0.9409824652989024,0.9719148936170215,0.002364671317353159,0.7347689125177981,0.0036360363463891223,39.611,0.4375460890009189
gpt4o,40,0.1,0.7,56.62,0.6260287533332634,81.64,0.8661454843154237,0.9725531914893619,0.0024088639692713245,0.7369373495941894,0.0036723064473784127,39.634,0.4382201273332844
gpt4o,40,0.1,0.75,53.04,0.6131622949921172,76.58,0.8546765470047717,0.9704255319148939,0.0024865414102119756,0.738238257125429,0.0038618560164706515,39.78,0.4598717212440877
gpt4o,40,0.1,0.8,49.64,0.5490063751906712,72.26,0.8014037683964308,0.9710638297872343,0.002350847202882235,0.7411537268252931,0.003702221254440854,39.711999999999996,0.43920510015253694
gpt4o,40,0.1,0.85,46.86,0.5059723312593288,68.04,0.7483100961499852,0.971489361702128,0.002471018066546038,0.7425833452248546,0.00366494841833229,39.831,0.43007648157042955
gpt4o,40,0.1,0.9,44.32,0.4431162375720393,64.1,0.7910752176626444,0.9706382978723407,0.0025095562038785924,0.744381702249979,0.003412134231003809,39.88800000000001,0.3988046138148354
gpt4o,40,0.1,0.95,42.2,0.44362146025637667,60.98,0.7628840016673569,0.9706382978723407,0.002563101335553293,0.7454039053603065,0.00353121249455697,40.089999999999996,0.42144038724355787
gpt4o,40,0.1,1.0,40.08,0.4488563244513772,58.04,0.7407887688133508,0.9700000000000003,0.0024572395602025744,0.7481151990742471,0.0037081547217964975,40.08,0.4488563244513772
gpt4o,40,0.15,0.0,200.0,0.0,200.0,0.0,1.0,0.0,1.2181333952600235,0.0021919284318718413,0.0,0.0
