model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,10,0.05,0.0,200.0,0.0,200.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.05,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.1,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.15,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.2,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.25,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.3,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.35,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.4,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.45,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.5,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.55,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.6,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.65,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.7,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.75,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.8,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.85,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.9,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,0.95,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.05,1.0,0.0,0.0,0.0,0.0,0.8936170212765958,0.013268288605581331,0.7739830968050624,0.0014998351139865482,0.0,0.0
gpt4o,10,0.1,0.0,200.0,0.0,200.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.05,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.1,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.15,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.2,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.25,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.3,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.35,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.4,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.45,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.5,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
gpt4o,10,0.1,0.55,0.0,0.0,0.0,0.0,0.8581560283687942,0.010439433648141653,0.6551499809299733,0.0013325367692689498,0.0,0.0
