model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,40,0.1,0.0,200.0,0.0,200.0,0.0,0.9982978723404256,0.0005515523998644965,0.7520924309071028,0.0006365045005871802,0.0,0.0
gpt4o,40,0.1,0.05,200.0,0.0,200.0,0.0,0.9944680851063831,0.0009146461812853041,0.6116701588108553,0.0004463840002561698,10.0,0.0
gpt4o,40,0.1,0.1,147.64,2.68488509996238,199.84,0.11440279716860073,0.9751063829787237,0.002303578415732511,0.5665880129285291,0.0026931022449924505,14.764000000000001,0.26848850999623797
gpt4o,40,0.1,0.15,99.96,1.7970998859273237,178.18,2.637224298386468,0.9774468085106385,0.002284436686207583,0.5693114976469831,0.002619738953826381,14.994000000000003,0.2695649828890985
gpt4o,40,0.1,0.2,76.08,1.360835037761741,137.4,2.485638750904885,0.9787234042553193,0.0020846721215175986,0.5721034039124121,0.0025713954197673344,15.216000000000001,0.27216700755234835
gpt4o,40,0.1,0.25,61.8,1.1634431657799191,110.78,1.9094061904162767,0.9770212765957449,0.0020487494667592713,0.5750206803410629,0.0026270342456425825,15.45,0.2908607914449798
gpt4o,40,0.1,0.3,52.16,0.9597332962860048,93.96,1.6309408327710728,0.9765957446808513,0.002211128690513462,0.5781642106210712,0.0024984604932563217,15.648000000000001,0.2879199888858014
gpt4o,40,0.1,0.35,45.28,0.8010193505777499,82.72,1.4899771810333204,0.9759574468085108,0.0022478801441799478,0.5813074132413123,0.0023621576590780683,15.847999999999997,0.2803567727022124
gpt4o,40,0.1,0.4,40.26,0.7551476676783156,73.96,1.3737423339185553,0.9759574468085108,0.0022878029970238908,0.584270917304212,0.0024517265203961376,16.104000000000006,0.30205906707132635
gpt4o,40,0.1,0.45,36.62,0.6822843981801135,66.78,1.3088284837976285,0.9755319148936172,0.0021116418341786403,0.5863239724594993,0.002380632640902556,16.479000000000006,0.3070279791810512
gpt4o,40,0.1,0.5,33.4,0.590592922409336,61.32,1.2067941000850144,0.9748936170212769,0.002101110960958045,0.5895157590115405,0.0022008735342723498,16.7,0.295296461204668
gpt4o,40,0.1,0.55,30.8,0.5946427498927404,56.74,1.141511278963112,0.9744680851063832,0.002330734287256027,0.5927306569326904,0.0023409618921397396,16.94,0.327053512441007
gpt4o,40,0.1,0.6,28.42,0.5557625392197643,53.0,1.0762899237658967,0.9751063829787237,0.002342552225249574,0.5968358155238447,0.0023287448589829926,17.052,0.33345752353185854
gpt4o,40,0.1,0.65,26.26,0.5213904487042316,49.98,1.05356157864645,0.9748936170212769,0.0024400461594606734,0.6015886754726324,0.0023166276035501794,17.068999999999996,0.3389037916577506
gpt4o,40,0.1,0.7,24.68,0.4869825458884538,47.2,0.9895453501482385,0.9740425531914896,0.0023913227775705743,0.6050541103783407,0.002257613590302337,17.276,0.3408877821219177
gpt4o,40,0.1,0.75,23.58,0.47251666637273243,45.02,0.948468238793477,0.9721276595744683,0.0024238516016230893,0.6073483004840068,0.0022772298529810365,17.685,0.35438749977954914
gpt4o,40,0.1,0.8,22.2,0.39597979746446665,43.12,0.928068962954801,0.9738297872340428,0.002539145762685708,0.6115792188441582,0.001995407328520598,17.76,0.3167838379715734
