model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,40,0.1,0.0,200.0,0.0,200.0,0.0,1.0,0.0,1.3139943565164303,0.002459748890165479,0.0,0.0
gpt4o,40,0.1,0.05,200.0,0.0,200.0,0.0,1.0,0.0,1.087023638158981,0.0018583386390153096,10.0,0.0
gpt4o,40,0.1,0.1,200.0,0.0,200.0,0.0,1.0,0.0,0.9213966123011866,0.0015060842337100372,20.0,0.0
gpt4o,40,0.1,0.15,200.0,0.0,200.0,0.0,0.9927659574468086,0.0011434067100037787,0.7988730958579096,0.0012883036701436736,30.0,0.0
gpt4o,40,0.1,0.2,198.22,0.7393456566451174,200.0,0.0,0.965957446808511,0.0020628424925175867,0.70932963088865,0.0015358203956171497,39.644,0.14786913132902343
gpt4o,40,0.1,0.25,171.38,1.6472741119801522,198.7,0.5285830114561005,0.9542553191489367,0.003173709338335383,0.6868983574214182,0.0031150352840391645,42.845,0.41181852799503804
gpt4o,40,0.1,0.3,143.52,1.5323811536298664,178.66,1.8005799065856531,0.9538297872340431,0.003106820138286314,0.6884261490459572,0.003553982713868586,43.056000000000004,0.4597143460889599
gpt4o,40,0.1,0.35,122.9,1.2937542270462346,154.52,1.718194401108326,0.9544680851063835,0.0030095667591637336,0.6915742510840011,0.0035680520584895556,43.01500000000001,0.4528139794661822
gpt4o,40,0.1,0.4,107.84,1.1556331597873089,136.38,1.4491073114162387,0.9546808510638303,0.0029143500036656555,0.6936390705806436,0.0035665785006054472,43.13599999999999,0.46225326391492355
gpt4o,40,0.1,0.45,96.48,0.9621808561803751,122.34,1.3259291082105407,0.9542553191489366,0.0031737093383353834,0.6942328122766115,0.003296636385804389,43.41600000000001,0.4329813852811689
gpt4o,40,0.1,0.5,87.38,0.8308501669976359,110.4,1.203661081866486,0.9578723404255324,0.003082684302344653,0.69488666135619,0.0032473615272406767,43.69,0.41542508349881796
gpt4o,40,0.1,0.55,80.44,0.7910297086709195,100.7,1.0933434958877286,0.9580851063829792,0.003246476656864673,0.6936512007858009,0.00337731207110434,44.242,0.4350663397690058
gpt4o,40,0.1,0.6,74.1,0.724568837309472,93.42,1.0080039682461572,0.958297872340426,0.003153533159770027,0.6948150047753782,0.003346697700147136,44.45999999999998,0.43474130238568304
gpt4o,40,0.1,0.65,68.9,0.7721398836998384,87.26,0.9409824652989024,0.957234042553192,0.0032615015691070067,0.6953644315630195,0.0038833151843732303,44.785,0.501890924404895
gpt4o,40,0.1,0.7,64.1,0.7457881736793633,81.64,0.8661454843154237,0.9565957446808515,0.0032245100273144904,0.697375614492639,0.003942591410114628,44.87000000000001,0.5220517215755541
gpt4o,40,0.1,0.75,59.86,0.74135551525567,76.58,0.8546765470047717,0.9557446808510643,0.0032318021354974507,0.699882948043221,0.004166980028616023,44.895,0.5560166364417526
gpt4o,40,0.1,0.8,56.24,0.700605452448095,72.26,0.8014037683964308,0.9553191489361708,0.0033775548651888386,0.7015689391796778,0.004185042656371831,44.99199999999999,0.5604843619584761
gpt4o,40,0.1,0.85,53.0,0.6852736679604725,68.04,0.7483100961499852,0.9548936170212771,0.0033038381180904982,0.703718110338708,0.004291871061067366,45.04999999999999,0.5824826177664015
gpt4o,40,0.1,0.9,50.12,0.6037482919230497,64.1,0.7910752176626444,0.9542553191489367,0.0033942672624561318,0.7056476386581468,0.004055893069992658,45.10799999999999,0.5433734627307447
gpt4o,40,0.1,0.95,47.4,0.5535341001239219,60.98,0.7628840016673569,0.9544680851063835,0.003404787192493195,0.7085869799886421,0.003982702602864149,45.02999999999998,0.5258573951177259
gpt4o,40,0.1,1.0,45.18,0.5296715963689199,58.04,0.7407887688133508,0.9555319148936176,0.003319285321802394,0.7099760237693712,0.0039976226160167265,45.18,0.5296715963689199
gpt4o,40,0.15,0.0,200.0,0.0,200.0,0.0,1.0,0.0,1.2181333952600235,0.0021919284318718413,0.0,0.0
