model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,40,0.1,0.0,200.0,0.0,200.0,0.0,0.9982978723404256,0.0005515523998644965,0.7520924309071028,0.0006365045005871802,0.0,0.0
gpt4o,40,0.1,0.05,200.0,0.0,200.0,0.0,0.9944680851063831,0.0009146461812853041,0.6116701588108553,0.0004463840002561698,10.0,0.0
gpt4o,40,0.1,0.1,178.62,2.7407867483625936,199.84,0.11440279716860073,0.9604255319148939,0.0031275872042575243,0.538535484211042,0.002482825146487974,17.862000000000002,0.27407867483625936
gpt4o,40,0.1,0.15,122.64,2.3282199208837637,178.18,2.637224298386468,0.957234042553192,0.003424011820780651,0.5399680163564025,0.0029636233947624414,18.396000000000004,0.34923298813256454
gpt4o,40,0.1,0.2,94.54,1.7067419254239933,137.4,2.485638750904885,0.9551063829787239,0.0035892551283854173,0.5414234685947165,0.0027814170337421788,18.908000000000005,0.3413483850847987
gpt4o,40,0.1,0.25,76.24,1.315920970271391,110.78,1.9094061904162767,0.9574468085106388,0.0032267555081070425,0.5457767281594755,0.002642934749754736,19.06,0.32898024256784775
gpt4o,40,0.1,0.3,64.62,1.1320388685906504,93.96,1.6309408327710728,0.9553191489361708,0.0030979191018214967,0.5489890939233547,0.0026009752135706344,19.385999999999996,0.33961166057719505
gpt4o,40,0.1,0.35,56.14,0.9822464049310642,82.72,1.4899771810333204,0.9534042553191493,0.0032670488161957545,0.5526739621123695,0.0025482556107133732,19.648999999999997,0.3437862417258725
gpt4o,40,0.1,0.4,49.84,0.8833391194779047,73.96,1.3737423339185553,0.9538297872340429,0.0032071953960956267,0.5562208500869893,0.0025244330818463075,19.936,0.35333564779116183
gpt4o,40,0.1,0.45,45.02,0.8267962264064829,66.78,1.3088284837976285,0.9534042553191493,0.0032252119080017866,0.5596586484096263,0.002563371018560786,20.258999999999997,0.3720583018829172
gpt4o,40,0.1,0.5,41.16,0.7607154527154029,61.32,1.2067941000850144,0.9529787234042557,0.0034582159537276703,0.563146641513043,0.0025273586594880453,20.58,0.38035772635770143
gpt4o,40,0.1,0.55,38.06,0.7290596683399788,56.74,1.141511278963112,0.9534042553191494,0.003294644954771165,0.566532565163563,0.002581098182426671,20.932999999999996,0.4009828175869882
gpt4o,40,0.1,0.6,35.46,0.643248008158595,53.0,1.0762899237658967,0.9527659574468089,0.0034721944066085715,0.5698796892412067,0.002380186168347042,21.276,0.38594880489515704
gpt4o,40,0.1,0.65,33.28,0.6261245882410306,49.98,1.05356157864645,0.9531914893617025,0.0034570376189940262,0.573331663192235,0.0024125484411293306,21.631999999999998,0.40698098235666974
gpt4o,40,0.1,0.7,31.32,0.5949386522995458,47.2,0.9895453501482385,0.9536170212765961,0.003237400272614508,0.5771295095150323,0.0023862401345952243,21.924,0.4164570566096822
gpt4o,40,0.1,0.75,29.36,0.5342359029492496,45.02,0.948468238793477,0.954893617021277,0.0031923403120869874,0.5819923168664132,0.002253728810872901,22.02,0.4006769272119372
gpt4o,40,0.1,0.8,28.0,0.5366563145999494,43.12,0.928068962954801,0.9527659574468089,0.0031724253309984352,0.5854372971727213,0.002345135578542489,22.4,0.4293250516799596
